company_id,organization_name,hq_country,latitude,longitude,founded_year,b2b,hub_binary,number_of_founders,female_founder,energy,information_technology,materials,industrials,consumer_discretionary,consumer_staples,health_care,financials,communication_services,utilities,real_estate,other,grant_before_seed,angel_round_binary,first_seed_round_year,number_seed_rounds,number_seed_investors,one_seed_investor_binary,pre_seed,follow_on_investor,low_seed_funding,high_seed_funding,duration_seed_stage,all_homecountry_investors_in_seed_binary,regional_seed_investor_binary,regional_seed_investor_institutional_binary,city_seed_investor_binary,lead_investor_in_seed,accelerator_seed_investor_binary,incubator_seed_investor_binary,micro_vc_seed_investor_binary,corporate_venture_capital_seed_investor_binary,angel_group_seed_investor_binary,angel_seed_investor_binary,university_program_seed_investor_binary,entrepreneurship_program_seed_investor_binary,family_investment_office_seed_investor_binary,us_investor_binary,gdp,top_university,exit_binary,post_seed_success,success
020858,OneWatt,The Netherlands,52.3730796,4.8924534,2015,1,True,1,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,2017.0,1,1,True,False,False,True,False,0.0,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,2.120605239,True,False,False,False
020860,RoadEO,The Netherlands,52.0799838,4.3113461,2020,1,False,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2020.0,1,1,True,True,False,True,False,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,-3.867953338,True,False,False,False
020862,We4Sea,The Netherlands,51.9244424,4.47775,2016,1,False,2,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,2017.0,1,1,True,False,False,False,False,0.0,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,2.42428573,True,False,False,False
020863,Meridia,The Netherlands,52.3730796,4.8924534,2015,1,True,2,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,2019.0,1,2,False,False,False,True,False,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,2.120605239,True,False,False,False
020864,Orikami.nl,The Netherlands,51.8474946,5.8637771,2011,1,False,2,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,2019.0,1,1,True,False,False,False,False,0.0,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,1.773345163,True,False,False,False
020865,Circular IQ,The Netherlands,52.3730796,4.8924534,2016,1,True,2,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,2019.0,1,1,True,True,False,False,False,0.0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,2.42428573,True,False,False,False
020867,Pandora Intelligence,The Netherlands,52.130355,5.4286989,2015,1,False,1,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,2016.0,1,1,True,False,False,False,False,0.0,True,True,True,True,True,False,False,False,False,True,True,False,False,False,False,2.120605239,False,False,False,False
020868,Atium,The Netherlands,52.3730796,4.8924534,2020,1,True,3,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,2020.0,1,1,True,True,False,True,False,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-3.867953338,True,False,False,False
020870,Syndy,The Netherlands,52.3028209,4.8596844,2010,1,True,2,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,2011.0,4,3,False,False,False,False,False,46.3,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,1.319320323,True,True,False,True
020871,Bloomon,The Netherlands,52.3730796,4.8924534,2014,0,True,2,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,2014.0,1,1,True,False,False,True,False,0.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,1.612610013,True,True,True,True
