Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Pre Seed Round - Marker Video,https://www.crunchbase.com/funding_round/marker-content-pre-seed--9909a0b0,Marker Video,https://www.crunchbase.com/organization/marker-content,Pre-Seed,"Dublin, Dublin, Ireland, Europe",2022-08-19,300000,USD,300000,Seed,,,,Yes,Marker Video is a SaaS user generated video platform. We collect authentic video product reviews and sell them to the brands who feature.,"Advertising Platforms, B2B, Brand Marketing, Content, Content Marketing, Marketing, Marketplace",,https://www.markervideo.com/,$1M to $10M,1010000,USD,1010000,Seed,5,,Enterprise Ireland,,1,"535,815"
Seed Round - SISU Aesthetic Clinic,https://www.crunchbase.com/funding_round/sisu-aesthetics-clinic-seed--56c26773,SISU Aesthetic Clinic,https://www.crunchbase.com/organization/sisu-aesthetics-clinic,Seed,"Dublin, Dublin, Ireland, Europe",2018-05-20,1000000,EUR,1176450,Seed,,,,Yes,"SISU is a collection of doctor-led, patient-centric aesthetic medical clinics",Health Care,,http://sisuclinic.com,$1M to $10M,21676450,USD,21676450,Early Stage Venture,3,,"Barry O’Brien, Dan Kiely, Jonnie Kenny, Julianne McElligott, Liam Casey, Linda Kiely",,6,"536,374"
Angel Round - Whyze Health,https://www.crunchbase.com/funding_round/whyze-health-angel--a4a63011,Whyze Health,https://www.crunchbase.com/organization/whyze-health,Angel,"Dublin, Dublin, Ireland, Europe",2022-02-06,,,,Seed,,,,Yes,Whyze Health is a healthcare firm that uses AI tools to connect healthcare ecosystem and provide better treatment to patients.,"Artificial Intelligence (AI), Health Care, Hospital, Information Technology",,https://whyzehealth.asia/,,2750000,EUR,3082925,Seed,2,,,,,"543,724"
Seed Round - Gigable,https://www.crunchbase.com/funding_round/gigable-seed--ccf2913f,Gigable,https://www.crunchbase.com/organization/gigable,Seed,"Dublin, Dublin, Ireland, Europe",2022-01-20,1540000,EUR,1742204,Seed,,,,Yes,"Gigable is a platform for Businesses to find, manage and pay teams of Freelancers.","Information Technology, Mobile Apps, Software",,https://gigable.com,$1M to $10M,4245332,EUR,4793958,Seed,5,,"Delta Partners, Enterprise Ireland, Feargal Mooney, Patrick Joy",,4,"544,030"
Seed Round - Plantruption,https://www.crunchbase.com/funding_round/plantruption-seed--513f64e5,Plantruption,https://www.crunchbase.com/organization/plantruption,Seed,"Dublin, Dublin, Ireland, Europe",2022-09-19,,,,Seed,,,,Yes,Plantruption builds a brand of sustainability to develop products using seaweed and microalgae.,"Food and Beverage, Food Processing, Product Research, Seafood",,https://www.plantruption.com,Less than $1M,500000,USD,500000,Seed,4,,"IndieBio, SOSV",1,2,"544,812"
Angel Round - Bounce Insights,https://www.crunchbase.com/funding_round/bounce-insights-angel--59d6a28c,Bounce Insights,https://www.crunchbase.com/organization/bounce-insights,Angel,"Dublin, Dublin, Ireland, Europe",2021-12-01,450000,EUR,509357,Seed,,,,Yes,Bounce Insights is a digital consumer research platform.,Consumer Research,,https://bounceinsights.com,$1M to $10M,6469669,USD,6469669,Seed,4,,"Enterprise Ireland, Gareth Lambe, Michael Dwyer, Niall O'Sullivan",,4,"545,785"
Pre Seed Round - HiiKER,https://www.crunchbase.com/funding_round/hiiker-pre-seed--037bf8a1,HiiKER,https://www.crunchbase.com/organization/hiiker,Pre-Seed,"Dublin, Dublin, Ireland, Europe",2022-07-14,500000,EUR,501327,Seed,,,,Yes,Hiiker is platform and community for hikers and hiking trails.,"Adventure Travel, Fitness, Sports",,https://hiiker.app,Less than $1M,650000,EUR,679126,Seed,3,,"Enterprise Ireland, Fuel Ventures",1,2,"546,272"
Seed Round - Dataships,https://www.crunchbase.com/funding_round/dataships-seed--fca6c5dd,Dataships,https://www.crunchbase.com/organization/dataships,Seed,"Blackrock, Dublin, Ireland, Europe",2020-11-06,500000,EUR,593705,Seed,,,,Yes,"Dataships is a data privacy software and services company, specializing in automating GDPR and CCPA compliance.","Compliance, Cyber Security, Enterprise Software, SaaS",,https://dataships.io/,$1M to $10M,9870000,EUR,10604631,Early Stage Venture,5,,"Enterprise Ireland, Forum Ventures, Ian Madigan, Peter Crowley",,4,"546,661"
Seed Round - SymPhysis Medical,https://www.crunchbase.com/funding_round/symphysis-medical-seed--7dc83948,SymPhysis Medical,https://www.crunchbase.com/organization/symphysis-medical,Seed,"Galway, Galway, Ireland, Europe",2023-12-21,1500000,EUR,1650951,Seed,,,,Yes,SymPhysis Medical is developing an innovative drainage technology to treat malignant pleural effusions (MPE).,"Health Care, Medical, Medical Device",,https://www.symphysismedical.com/,$1M to $10M,5600000,EUR,6100772,,4,,"Boole Investment Syndicate, Furthr VC, HBAN Medtech Syndicate, Irrus Investments",,4,"550,079"
Angel Round - Peachy Lean,https://www.crunchbase.com/funding_round/peachy-lean-angel--f705aa45,Peachy Lean,https://www.crunchbase.com/organization/peachy-lean,Angel,"Walkinstown, Dublin, Ireland, Europe",2021-04-29,115000,EUR,139445,Seed,930455,EUR,1128235,Yes,Peachy Lean is an athleisure business providing supportive funky gym leggings.,"Fashion, Fitness, Retail, Wellness",,https://www.peachylean.com,$1M to $10M,865000,EUR,901809,Seed,3,,"Sara Davies, Tej Lalvani, Touker Suleyman",,3,"551,139"
