Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Seed Round - Orderlord,https://www.crunchbase.com/funding_round/orderlord-seed--0bef43f6,Orderlord,https://www.crunchbase.com/organization/orderlord,Seed,"Bratislava, Bratislava, Slovakia (Slovak Republic), Europe",2014-08-01,200000,EUR,268574,Seed,1000000,EUR,1342868,Yes,Orderlord is a solution for food delivery management.,"Apps, Delivery Service, Hospitality, Mobile Apps, Point of Sale, Software",,http://orderlord.com,$1M to $10M,580633,USD,580633,M&A,5,,Wayra,,1,"426,775"
Angel Round - TapHome,https://www.crunchbase.com/funding_round/taphome-angel--c9b056cf,TapHome,https://www.crunchbase.com/organization/taphome,Angel,"Bratislava, Bratislava, Slovakia (Slovak Republic), Europe",2013-09-01,80000,EUR,105680,Seed,1000000,EUR,1321002,Yes,TapHome makes your life more comfortable and it helps you reduce energy costs.,"Consumer Electronics, Electronics, Energy",,https://taphome.com/,Less than $1M,200000,EUR,256609,Seed,2,,"Martin Kalis, Samo Jurdik",,2,"439,399"
Seed Round - Bitmap Galaxy,https://www.crunchbase.com/funding_round/bitmap-galaxy-seed--2c115ffe,Bitmap Galaxy,https://www.crunchbase.com/organization/bitmap-galaxy,Seed,"Bratislava, Bratislava, Slovakia (Slovak Republic), Europe",2014-07-26,,,,Seed,,,,Yes,Bitmap Galaxy is an independent games developer founded by a group of game developers who needed a break during AAA console production.,"Developer Platform, Gamification, Gaming",,http://bitmapgalaxy.com,Less than $1M,,,,Seed,1,,Innovations and Technologies Fund (FIT),,1,"444,312"
Seed Round - Cloudo,https://www.crunchbase.com/funding_round/cloudo-2-seed--7131c05e,Cloudo,https://www.crunchbase.com/organization/cloudo-2,Seed,"Bratislava, Bratislava, Slovakia (Slovak Republic), Europe",2015-10-19,100000,EUR,113293,Seed,,,,Yes,Cloudo is an application that boosts your productivity giving you one place to access and control all your cloud apps.,"Apps, Internet",,http://www.cloudo.co,Less than $1M,180000,EUR,202876,Seed,2,,Speedinvest,,1,"455,154"
Seed Round - Blinnker.com a.s.,https://www.crunchbase.com/funding_round/blinnker-com-a-s-seed--3a619f4e,Blinnker.com a.s.,https://www.crunchbase.com/organization/blinnker-com-a-s,Seed,"Bratislava, Bratislava, Slovakia (Slovak Republic), Europe",2016-12-19,600000,EUR,624174,Seed,,,,Yes,Blinnker is the first true social network for motorists.,"Apps, Autonomous Vehicles, Mobile Apps",,http://www.blinnker.com,,800000,EUR,841505,Seed,2,,Miller Invest,,1,"478,452"
Seed Round - BatSuite,https://www.crunchbase.com/funding_round/batsuite-seed--6cac7ad6,BatSuite,https://www.crunchbase.com/organization/batsuite,Seed,"Bratislava, Bratislava, Slovakia (Slovak Republic), Europe",2015-01-01,,,,Seed,,,,Yes,BatSuite provides personal navigation and location assisstance technology.,"Medical Device, Software",,http://batsuite.com/,Less than $1M,,,,Seed,1,,Hardware.co,,1,"478,818"
Seed Round - Crowdberry,https://www.crunchbase.com/funding_round/crowdberry-seed--d2984b27,Crowdberry,https://www.crunchbase.com/organization/crowdberry,Seed,"Bratislava, Bratislava, Slovakia (Slovak Republic), Europe",2015-01-01,,,,Seed,,,,Yes,Crowdberry is an investment platform that allows private investors to invest directly in innovative startups.,"Crowdfunding, Financial Services, Funding Platform, Impact Investing, Real Estate Investment, Venture Capital",,https://www.crowdberry.eu,$1M to $10M,,,,Seed,1,,Launcher,,1,"479,055"
Seed Round - Lekar.sk,https://www.crunchbase.com/funding_round/lekar-sk-seed--6a4588e0,Lekar.sk,https://www.crunchbase.com/organization/lekar-sk,Seed,"Bratislava, Bratislava, Slovakia (Slovak Republic), Europe",2011-12-13,,,,Seed,,,,Yes,On-line solution for selecting best local physicians,"Health Care, Information Technology",,http://www.lekar.sk/,,,,,M&A,1,,MONOGRAM Ventures,,1,"464,956"
Seed Round - Profifox,https://www.crunchbase.com/funding_round/action-plan-manager-a-s-seed--00893978,Profifox,https://www.crunchbase.com/organization/action-plan-manager-a-s,Seed,"Kosice, Kosice, Slovakia (Slovak Republic), Europe",2015-04-24,200000,EUR,217468,Seed,,,,Yes,Profifox is an online application that helps the manufacturer to manage projects and to-do lists work to grow businessess.,"Collaboration, Professional Services, Project Management",,http://www.profifox.com,Less than $1M,200000,EUR,217468,Seed,1,,Neulogy Ventures,,1,"465,895"
Seed Round - web2media.sk,https://www.crunchbase.com/funding_round/web2media-sk-seed--4b81a8f6,web2media.sk,https://www.crunchbase.com/organization/web2media-sk,Seed,"Bratislava, Bratislava, Slovakia (Slovak Republic), Europe",2008-08-01,,,,Seed,,,,Yes,web2media.sk is an online agency based in Slovakia that designs banner advertisements for SMEs.,"Ad Network, Advertising, Advertising Platforms",,http://www.web2media.sk/,Less than $1M,,,,Seed,1,,MONOGRAM Ventures,,1,"476,744"
Seed Round - Erigones,https://www.crunchbase.com/funding_round/erigones-seed--162c5d7b,Erigones,https://www.crunchbase.com/organization/erigones,Seed,"Nitra, Nitra, Slovakia (Slovak Republic), Europe",2016-07-01,,,,Seed,,,,Yes,Erigones provider of cloud management software intended to simplify data center management and delegate daily support.,"Cloud Computing, Cloud Infrastructure, Cloud Management, Enterprise Software, Information Technology, Software, Virtualization",,https://danubecloud.org,,,,,Seed,1,,Neulogy Ventures,,1,"461,379"
Seed Round - Ordercity,https://www.crunchbase.com/funding_round/ordercity-seed--56c2b156,Ordercity,https://www.crunchbase.com/organization/ordercity,Seed,"Bratislava, Bratislava, Slovakia (Slovak Republic), Europe",2016-04-15,98000,EUR,110581,Seed,,,,Yes,Ordercity is an e-commerce for the on-demand era.,"Business Development, Customer Service, E-Commerce, Restaurants",,https://www.ordercity.com,,98000,EUR,110581,Seed,1,,CEED Tech,,1,"482,960"
Seed Round - CoverPage Publishing,https://www.crunchbase.com/funding_round/coverpageapp-com-seed--5ecc865e,CoverPage Publishing,https://www.crunchbase.com/organization/coverpageapp-com,Seed,"Bratislava, Bratislava, Slovakia (Slovak Republic), Europe",2012-01-01,,,,Seed,,,,Yes,CoverPage Publishing is a publishing platform for tablets and smartphones that enables its customers to design their own apps.,"Android, iOS, Mobile, Publishing, Software",,http://CoverPageApp.com,$1M to $10M,,,,Seed,1,,MONOGRAM Ventures,,1,"462,448"
Seed Round - Digital Avenue,https://www.crunchbase.com/funding_round/digital-avenue-seed--e94f668d,Digital Avenue,https://www.crunchbase.com/organization/digital-avenue,Seed,"Lok, Nitra, Slovakia (Slovak Republic), Europe",2007-01-01,,,,Seed,,,,Yes,Digital Avenue is a company that was one of the first to make its debut on the NewConnect market of the Warsaw Stock Exchange in 2007.,"Digital Media, Professional Services",,http://digitalavenue.pl/,Less than $1M,,,,Seed,1,,MCI Capital SA,,1,"462,590"
Seed Round - RoomAssistant,https://www.crunchbase.com/funding_round/roomassistant-seed--104c4b05,RoomAssistant,https://www.crunchbase.com/organization/roomassistant,Seed,"Kosice, Kosice, Slovakia (Slovak Republic), Europe",2015-12-07,200000,EUR,216676,Seed,,,,Yes,RoomAssistant is a mobile application for hotels that helps maximizing the spend of guests once they are accommodated.,"Hospitality, Hotel, Mobile Apps",,http://www.roomassistant.com/,$1M to $10M,200000,EUR,216676,Seed,1,,Neulogy Ventures,,1,"473,543"
Seed Round - Payowallet,https://www.crunchbase.com/funding_round/payowallet-seed--37cc032a,Payowallet,https://www.crunchbase.com/organization/payowallet,Seed,"Bratislava, Bratislava, Slovakia (Slovak Republic), Europe",2018-09-01,30000,EUR,34835,Seed,,,,Yes,PayoWallet is a marketing platform that provides a set of tools.,"Apps, E-Commerce, Mobile Payments, Payments",,https://www.payowallet.com,Less than $1M,30000,EUR,34835,Seed,1,,StartupYard,,1,"463,512"
Seed Round - TrashOut.NGO,https://www.crunchbase.com/funding_round/trashout-seed--8e2272ba,TrashOut.NGO,https://www.crunchbase.com/organization/trashout,Seed,"Zilina, Zilina, Slovakia (Slovak Republic), Europe",2015-03-01,254000,EUR,284049,Seed,,,,Yes,TrashOut is an environmental project and mobile app which aims to map all illegal dumps around the world and help citizens recycle more.,"Android, CleanTech, GreenTech, iOS, Mobile, Smart Cities",,http://www.trashout.ngo,Less than $1M,394000,EUR,475379,Seed,3,,Wayra,,1,"470,620"
Seed Round - Lingout,https://www.crunchbase.com/funding_round/lingout-seed--a05dcb0c,Lingout,https://www.crunchbase.com/organization/lingout,Seed,"Bratislava, Bratislava, Slovakia (Slovak Republic), Europe",2015-01-01,300000,EUR,361380,Seed,,,,Yes,Mobile app localization and translation management platform,"Apps, Mobile",,http://lingout.com,Less than $1M,319000,EUR,387634,Seed,2,,Wayra,,1,"471,334"
Seed Round - Proton Center Slovakia,https://www.crunchbase.com/funding_round/proton-center-seed--b836bf1c,Proton Center Slovakia,https://www.crunchbase.com/organization/proton-center,Seed,"Bratislava, Bratislava, Slovakia (Slovak Republic), Europe",2018-01-29,,,,Seed,,,,Yes,"Proton Center Slovakia, Ltd. is company focused on building and operation of 1st private proton therapy center in Slovakia. ","Health Care, Hospital",,http://www.protonovecentrum.sk,,,,,Seed,1,,,,,"529,820"
Seed Round - Vezma,https://www.crunchbase.com/funding_round/work-in-field-seed--b9e8f02e,Vezma,https://www.crunchbase.com/organization/work-in-field,Seed,"Bratislava, Bratislava, Slovakia (Slovak Republic), Europe",2011-06-25,270000,EUR,383527,Seed,,,,Yes,Integrated mobile in-vehicle GPS app and cloud service for tracking vehicle trips.,"Android, Apps, iOS, Public Transportation, Software",,http://www.vezma.com/,Less than $1M,270000,EUR,383527,Seed,1,,,,,"494,069"
