Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Seed Round - Repark,https://www.crunchbase.com/funding_round/repark-seed--33868fcc,Repark,https://www.crunchbase.com/organization/repark,Seed,"Wiener Neustadt, Niederosterreich, Austria, Europe",2023-06-06,,,,Seed,,,,Yes,Repark is entering the market with the goal of digitising and simplifying the hunt for a parking place in cities.,"Mobile Apps, Parking",,https://www.repark.at,$1M to $10M,,,,,3,,WaVe-X,,1,"597,221"
Pre Seed Round - OKTAV,https://www.crunchbase.com/funding_round/oktav-pre-seed--d726690e,OKTAV,https://www.crunchbase.com/organization/oktav,Pre-Seed,"Linz, Oberosterreich, Austria, Europe",2017-01-01,,,,Seed,,,,Yes,OKTAV is the #1 platform for learning and playing piano.,"E-Learning, Media and Entertainment, Music, Music Education",,https://www.oktav.com/,Less than $1M,1500000,EUR,1756838,Seed,4,,tech2b Inkubator,,1,"598,716"
Pre Seed Round - Musicbooking,https://www.crunchbase.com/funding_round/musicbooking-pre-seed--8213b122,Musicbooking,https://www.crunchbase.com/organization/musicbooking,Pre-Seed,"Vienna, Wien, Austria, Europe",2016-01-01,,,,Seed,,,,Yes,Musicbooking is a music company.,"Events, Music",,https://musicbooking.com/,,,,,Seed,2,,tech2b Inkubator,,1,"592,682"
Pre Seed Round - ReDev,https://www.crunchbase.com/funding_round/redev-545a-pre-seed--1722ab87,ReDev,https://www.crunchbase.com/organization/redev-545a,Pre-Seed,"Vienna, Wien, Austria, Europe",2022-05-20,100000,EUR,105657,Seed,,,,Yes,Next-Generation Human Resources - ReDev AI-Powered Recruiting Platform,"Artificial Intelligence (AI), Recruiting, SaaS",,https://redev.jobs/companies,,700000,EUR,757896,Seed,5,,Parminder Singh,,1,"592,771"
Seed Round - ecop Technologies GmbH,https://www.crunchbase.com/funding_round/ecop-technologies-seed--f2a679d0,ecop Technologies GmbH,https://www.crunchbase.com/organization/ecop-technologies,Seed,"Neuhofen An Der Krems, Oberosterreich, Austria, Europe",2016-01-01,,,,Seed,,,,Yes,"ecop is a high-tech company that manufactures rotation heat pumps for industrial use using a novel, multi-patented technology.",Machinery Manufacturing,,http://www.ecop.at/,$1M to $10M,15030000,EUR,16433580,,6,,OOE Hightechfonds GmbH,,1,"592,856"
Pre Seed Round - SOMAREALITY,https://www.crunchbase.com/funding_round/soma-reality-pre-seed--97807227,SOMAREALITY,https://www.crunchbase.com/organization/soma-reality,Pre-Seed,"Vienna, Wien, Austria, Europe",2023-09-18,50000,EUR,53460,Seed,,,,Yes,"Spatial Computing, Eye Tracking, Cognitive Digital Biomarkers","Analytics, Augmented Reality, Health Care, Information Technology, Training, Virtual Reality",,https://somareality.com,$1M to $10M,4433600,EUR,4990994,Seed,6,,Startup Wise Guys,,1,"592,879"
Seed Round - Monkee,https://www.crunchbase.com/funding_round/monkee-seed--360aceb8,Monkee,https://www.crunchbase.com/organization/monkee,Seed,"Innsbruck, Tirol, Austria, Europe",2023-06-13,,,,Seed,,,,Yes,Monkee is a Save Now Buy Later platform that helps consumers purchase without debt & enables retailers to monetize early purchase intent.,"Apps, Financial Services, FinTech, Loyalty Programs, Mobile Apps, Personal Finance, Retail Technology",,http://www.monkee.rocks,$1M to $10M,3520730,USD,3520730,Seed,10,,Startup Wise Guys,,1,"593,540"
Pre Seed Round - Viora - visible through confidence,https://www.crunchbase.com/funding_round/ada-growth-pre-seed--9ba9a7ad,Viora - visible through confidence,https://www.crunchbase.com/organization/ada-growth,Pre-Seed,"Vienna, Wien, Austria, Europe",2022-01-15,400000,EUR,456612,Seed,2500000,EUR,2853826,Yes,"With Viora, the micro-learning app, you can close the Gender Confidence Gap and attract, retain, and grow female employees.","EdTech, Enterprise Software, Human Resources, Mobile Apps, Social Impact, Software","Women Founded, Women Led",https://viora.com/,,1100000,EUR,1225084,Seed,3,,Hansmen Group,,1,"588,049"
Angel Round - infotope technologies GmbH,https://www.crunchbase.com/funding_round/infotope-gmbh-angel--a904c7f3,infotope technologies GmbH,https://www.crunchbase.com/organization/infotope-gmbh,Angel,"Vienna, Wien, Austria, Europe",2015-02-26,1000000,EUR,1119550,Seed,,,,Yes,infotope is an Austria-based technology startup that offers tools for home networking security.,"Developer Tools, Security, Telecommunications",,http://www.infotope.com,Less than $1M,1035000,EUR,1159152,Seed,2,,,,,"603,210"
Pre Seed Round - InsectoCycle,https://www.crunchbase.com/funding_round/insectocycle-pre-seed--85206bd5,InsectoCycle,https://www.crunchbase.com/organization/insectocycle,Pre-Seed,"Giessenberg, Steiermark, Austria, Europe",2020-04-01,10000,EUR,10952,Seed,,,,Yes,InsectoCycle offers systems for black soldier fly egg production and general black soldier fly consulting.,Farming,,https://www.insectocycle.com/,,85000,EUR,89908,Seed,2,,StartLife,,1,"604,604"
